"project_id","deployment_id","placename","longitude","latitude","start_date","end_date","event","array_name","bait_type","bait_description","feature_type","feature_type_methodology","camera_id","quiet_period","camera_functioning","sensor_height","height_other","sensor_orientation","orientation_other","recorded_by"
1,"K8_site-2018-07-06T00:00:00.000Z-2018-09-16T00:00:00.000Z","K8_site",-122.78191,50.94349,"2018-07-06T00:00:00.000Z","2018-09-16T00:00:00.000Z","","","None","","None","",115,"","Camera Functioning","Unknown","","Parallel","",""
1,"I6_site-2018-08-20T00:00:00.000Z-2018-09-25T00:00:00.000Z","I6_site",-122.845424,50.996737,"2018-08-20T00:00:00.000Z","2018-09-25T00:00:00.000Z","","","None","","None","",640,"","Camera Functioning","Unknown","","Parallel","",""
1,"I7_site-2018-06-20T00:00:00.000Z-2018-09-25T00:00:00.000Z","I7_site",-122.848288,50.964939,"2018-06-20T00:00:00.000Z","2018-09-25T00:00:00.000Z","","","None","","None","",11,"","Camera Functioning","Unknown","","Parallel","",""
1,"G6_site-2018-08-23T00:00:00.000Z-2018-09-18T00:00:00.000Z","G6_site",-122.93003,50.999161,"2018-08-23T00:00:00.000Z","2018-09-18T00:00:00.000Z","","","None","","None","",234,"","Camera Functioning","Unknown","","Parallel","",""
1,"J8_site-2018-06-09T00:00:00.000Z-2018-07-14T00:00:00.000Z","J8_site",-122.815251,50.962548,"2018-06-09T00:00:00.000Z","2018-07-14T00:00:00.000Z","","","None","","None","",4,"","Camera Functioning","Unknown","","Parallel","",""
1,"K7_site-2018-06-02T00:00:00.000Z-2018-07-14T00:00:00.000Z","K7_site",-122.77025,50.9702,"2018-06-02T00:00:00.000Z","2018-07-14T00:00:00.000Z","","","None","","None","",3,"","Camera Functioning","Unknown","","Parallel","",""
1,"L7_site-2018-07-15T00:00:00.000Z-2018-09-16T00:00:00.000Z","L7_site",-122.73641,50.98292,"2018-07-15T00:00:00.000Z","2018-09-16T00:00:00.000Z","","","None","","None","",121,"","Camera Functioning","Unknown","","Parallel","",""
1,"H8_site-2018-07-28T00:00:00.000Z-2018-09-25T00:00:00.000Z","H8_site",-122.882466,50.960709,"2018-07-28T00:00:00.000Z","2018-09-25T00:00:00.000Z","","","None","","None","",134,"","Camera Functioning","Unknown","","Parallel","",""
1,"H7_site-2018-06-20T00:00:00.000Z-2018-07-28T00:00:00.000Z","H7_site",-122.883786,50.98697,"2018-06-20T00:00:00.000Z","2018-07-28T00:00:00.000Z","","","None","","None","",133,"","Camera Functioning","Unknown","","Parallel","",""
1,"D7_site-2018-06-12T00:00:00.000Z-2018-09-18T00:00:00.000Z","D7_site",-123.023044,50.999596,"2018-06-12T00:00:00.000Z","2018-09-18T00:00:00.000Z","","","None","","None","",438,"","Camera Functioning","Unknown","","Parallel","",""
1,"G4_site-2018-09-02T00:00:00.000Z-2018-09-23T00:00:00.000Z","G4_site",-122.915583,51.051962,"2018-09-02T00:00:00.000Z","2018-09-23T00:00:00.000Z","","","None","","None","",2,"","Camera Functioning","Unknown","","Parallel","",""
