"class","order","family","genus","species","commonNameEnglish","uniqueIdentifier","taxon"
"Aves","Piciformes","Picidae","Sphyrapicus","nuchalis","Red-naped Sapsucker","f8fb780f-44e3-4eb3-8637-0c9409319c1f","Aves-Piciformes-Picidae-Sphyrapicus-nuchalis-Red-naped Sapsucker-f8fb780f-44e3-4eb3-8637-0c9409319c1f"
"Mammalia","Carnivora","Mustelidae","Martes","pennanti","Fisher","ae7d1bde-3d29-41fc-a52f-5c6e087143df","Mammalia-Carnivora-Mustelidae-Martes-pennanti-Fisher-ae7d1bde-3d29-41fc-a52f-5c6e087143df"
"Aves","Passeriformes","Passerellidae","Passerella","iliaca","Red Fox-sparrow","56681b45-c922-4d50-a3c7-48a85795346b","Aves-Passeriformes-Passerellidae-Passerella-iliaca-Red Fox-sparrow-56681b45-c922-4d50-a3c7-48a85795346b"
"Aves","Passeriformes","Passerellidae","Spizella","passerina","Chipping Sparrow","e694a321-d807-4c57-b53a-758d6df448ac","Aves-Passeriformes-Passerellidae-Spizella-passerina-Chipping Sparrow-e694a321-d807-4c57-b53a-758d6df448ac"
"Aves","Passeriformes","Turdidae","Catharus","ustulatus","Russet-backed Thrush","6acc4360-3b6c-4b7e-9d77-3c266e17255b","Aves-Passeriformes-Turdidae-Catharus-ustulatus-Russet-backed Thrush-6acc4360-3b6c-4b7e-9d77-3c266e17255b"
"Mammalia","Carnivora","Felidae","Lynx","rufus","Bobcat","ba76d46e-25de-45e2-90a8-bd279b650f7c","Mammalia-Carnivora-Felidae-Lynx-rufus-Bobcat-ba76d46e-25de-45e2-90a8-bd279b650f7c"
"Aves","Passeriformes","Tyrannidae","Empidonax","oberholseri","American Dusky Flycatcher","74ad9376-b86f-4c46-be31-eae5f582c2c4","Aves-Passeriformes-Tyrannidae-Empidonax-oberholseri-American Dusky Flycatcher-74ad9376-b86f-4c46-be31-eae5f582c2c4"
"Mammalia","Rodentia","Cricetidae","Neotoma","cinerea","Bushy-tailed Woodrat","b8b9d6cf-88e7-42e8-8c94-669b7ab1486a","Mammalia-Rodentia-Cricetidae-Neotoma-cinerea-Bushy-tailed Woodrat-b8b9d6cf-88e7-42e8-8c94-669b7ab1486a"
"Mammalia","Carnivora","Mustelidae","Gulo","gulo","Wolverine","33aebad1-08bd-4d07-a82e-bdc55dc9e8ef","Mammalia-Carnivora-Mustelidae-Gulo-gulo-Wolverine-33aebad1-08bd-4d07-a82e-bdc55dc9e8ef"
"Aves","Passeriformes","Fringillidae","Spinus","pinus","Pine Siskin","c1a19322-8439-4e53-8ff9-4fcc1fa60da9","Aves-Passeriformes-Fringillidae-Spinus-pinus-Pine Siskin-c1a19322-8439-4e53-8ff9-4fcc1fa60da9"
